title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
Surface,2022,Powell Street at Geary,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,POINT (-122.4082534 37.7873806),3,2026-02-20T16:44:43.000,Tenderloin,-122.4082534,2026-02-20T16:37:46.000,37.7873806
So I Married an Axe Murderer,1993,Prudente's Italian Deli (1462 Grant Ave at Union),"Prudente's Italian Deli, which has since closed, is called ""Meats of the World"" in the film.",TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,CA,San Francisco,POINT (-122.4073931 37.8004752),3,2026-02-20T16:44:43.000,North Beach,-122.4073931,2026-02-20T16:37:46.000,37.8004752
D.O.A,1950,Chambord Apartments (1298 Sacramento Street at Jones),,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler,CA,San Francisco,POINT (-122.4141247 37.7924899),3,2026-02-20T16:44:43.000,Nob Hill,-122.4141247,2026-02-20T16:37:46.000,37.7924899
Vertigo,1958,900 Lombard Street,Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,CA,San Francisco,POINT (-122.4165725 37.802546),3,2026-02-20T16:44:43.000,Russian Hill,-122.4165725,2026-02-20T16:37:46.000,37.802546
A Jitney Elopement,1915,20th and Folsom Streets,,The Essanay Film Manufacturing Company,General Film Company,Charles Chaplin,Charles Chaplin,Charles Chaplin,Edna Purviance,,CA,San Francisco,POINT (-122.42792 37.75826),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.42792,2026-02-20T16:37:46.000,37.75826
Looking Season 2 ep 202,2015,901 Valencia Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4210956 37.7584235),9,2026-02-20T16:44:43.000,Mission,-122.4210956,2026-02-20T16:37:46.000,37.7584235
"Hello Frisco, Hello",1943,,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Bruce Humberstone,Robert Ellis,Alice Faye,John Payne,Jack Oakie,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Sweet November,2001,"Foote, Cone & Belding (733 Front Street at Pacific)","The building is called ""Jabe & Dunne Advertising Agency"" in the movie.",Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,,CA,San Francisco,POINT (-122.4000623 37.7980575),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4000623,2026-02-20T16:37:46.000,37.7980575
Shit and Champagne,2020,La Ferrera Terrace at Kearny St,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,CA,San Francisco,POINT (-122.4066953 37.8039343),3,2026-02-20T16:44:43.000,North Beach,-122.4066953,2026-02-20T16:37:46.000,37.8039343
"Murder in the First, Season 2",2015,Columbus Avenue between Washington and Bay Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.41802 37.8056),3,2026-02-20T16:44:43.000,Russian Hill,-122.41802,2026-02-20T16:37:46.000,37.8056
Bedazzled,2000,1155 Filbert Street at Hyde,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,,CA,San Francisco,POINT (-122.4185327 37.800134),3,2026-02-20T16:44:43.000,Russian Hill,-122.4185327,2026-02-20T16:37:46.000,37.800134
"Smile Again, Jenny Lee",2015,510 Noe Street & 18th St.,,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.4329885 37.7606868),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.4329885,2026-02-20T16:37:46.000,37.7606868
Goliath- Season 4,2021,Fort Point (Golden Gate National Recreation Area),,"Picrow, Inc.",Amazon Studios,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde,CA,San Francisco,POINT (-122.47709 37.8106117),2,2026-02-20T16:44:43.000,Presidio,-122.47709,2026-02-20T16:37:46.000,37.8106117
Romeo Must Die,2000,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Silver Pictures,Warner Bros. Pictures,Andrzej Bartkowiak,Mitchell Kapner,Jet Li,Aaliyah,,CA,San Francisco,POINT (-122.4048082 37.7944675),3,2026-02-20T16:44:43.000,Chinatown,-122.4048082,2026-02-20T16:37:46.000,37.7944675
Nine Months,1995,Jones Street at Bush,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams,CA,San Francisco,POINT (-122.4137459 37.7895412),3,2026-02-20T16:44:43.000,Nob Hill,-122.4137459,2026-02-20T16:37:46.000,37.7895412
DEVS,2020,Judah at 20th Ave,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.478099 37.7616696),4,2026-02-20T16:44:43.000,Sunset/Parkside,-122.478099,2026-02-20T16:37:46.000,37.7616696
The Princess Diaries,2001,Firestation #3 (Brazil Avenue and Athens Street),,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,CA,San Francisco,POINT (-122.4316939 37.7163399),11,2026-02-20T16:44:43.000,Excelsior,-122.4316939,2026-02-20T16:37:46.000,37.7163399
Bullitt,1968,20th & Vermont Streets (Potrero Hill),The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,Warner Brothers / Seven Arts Seven Arts,Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,CA,San Francisco,POINT (-122.4040359 37.7595749),10,2026-02-20T16:44:43.000,Potrero Hill,-122.4040359,2026-02-20T16:37:46.000,37.7595749
When We Rise,2017,Haight St. at Central,,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,CA,San Francisco,POINT (-122.43979 37.7709327),5,2026-02-20T16:44:43.000,Haight Ashbury,-122.43979,2026-02-20T16:37:46.000,37.7709327
San Andreas,2015,Fort Baker,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,CA,San Francisco,POINT (-122.4788979 37.8360614),,2026-02-20T16:44:43.000,,-122.4788979,2026-02-20T16:37:46.000,37.8360614
180,2011,Mason & California Streets (Nob Hill),,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand,CA,San Francisco,POINT (-122.4108465 37.7918448),3,2026-02-20T16:44:43.000,Nob Hill,-122.4108465,2026-02-20T16:37:46.000,37.7918448
The Phone/Jexi,2019,Castro at 19th St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.4348796 37.7592955),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.4348796,2026-02-20T16:37:46.000,37.7592955
The Dead Pool,1988,"The Cannery (281 Leavenworth Street, Fisherman's Wharf)",,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,CA,San Francisco,POINT (-122.4144743 37.783794),5,2026-02-20T16:44:43.000,Tenderloin,-122.4144743,2026-02-20T16:37:46.000,37.783794
Broken-A Modern Love Story,2010,Ina Coolbrith Park (1700 Taylor Street),,RKW Films,,Ryan K. Whiting,Ryan K. Whiting,,,,CA,San Francisco,POINT (-122.4137716 37.7980325),3,2026-02-20T16:44:43.000,Nob Hill,-122.4137716,2026-02-20T16:37:46.000,37.7980325
Chance- Season 1 ep107,2016,157 Commonwealth,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4559379 37.7825888),2,2026-02-20T16:44:43.000,Presidio Heights,-122.4559379,2026-02-20T16:37:46.000,37.7825888
Birth of the Dragon,2016,Twin Peaks Blvd.,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,CA,San Francisco,POINT (-122.4481679 37.7533798),7,2026-02-20T16:44:43.000,Twin Peaks,-122.4481679,2026-02-20T16:37:46.000,37.7533798
Fearless,1993,400 Montgomery Street,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,CA,San Francisco,POINT (-122.402597 37.7931137),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.402597,2026-02-20T16:37:46.000,37.7931137
The Princess Diaries,2001,Broadway Tunnel (Broadway between Powell and Larkin),,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,CA,San Francisco,POINT (-122.411412 37.7971782),3,2026-02-20T16:44:43.000,Chinatown,-122.411412,2026-02-20T16:37:46.000,37.7971782
Heart and Souls,1993,2810 Pacific Avenue,,Universal Pictures,Electric Parc,Tomas Gislason,Tomas Gislason,Jorgen Leth,,,CA,San Francisco,POINT (-122.4420964 37.792705),2,2026-02-20T16:44:43.000,Pacific Heights,-122.4420964,2026-02-20T16:37:46.000,37.792705
Godzilla,2014,Broadway & Sansome,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,CA,San Francisco,POINT (-122.4022487 37.7984316),3,2026-02-20T16:44:43.000,North Beach,-122.4022487,2026-02-20T16:37:46.000,37.7984316
Blindspotting Season 2,2022,"Broadway Studios, 435 Broadway",,Blindspotting Productions Inc,Starz,Rafael Casal,"Brittany Miller, Rafael Casal, Daveed Diggs",Rafael Casal,Daveed Diggs,Helen Hunt,CA,San Francisco,POINT (-122.404479 37.7979773),3,2026-02-20T16:44:43.000,North Beach,-122.404479,2026-02-20T16:37:46.000,37.7979773
The Last Thing He Told Me,2023,2698 Pacific Avenue,,20th Television,Apple TV+,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer, Lila Neugebauer",Laura Dave,Jennifer Garner,Angourie Rice,Aisha Tyler,CA,San Francisco,POINT (-122.4395368 37.7929909),2,2026-02-20T16:44:43.000,Pacific Heights,-122.4395368,2026-02-20T16:37:46.000,37.7929909
Super Pumped: The Battle for Uber,2022,Grant Avenue between O'Farrell to Geary,,Possible Productions,Showtime,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
"Smile Again, Jenny Lee",2015,Unitarian Church (1187 Franklin St.),,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.4234103 37.7852038),2,2026-02-20T16:44:43.000,Western Addition,-122.4234103,2026-02-20T16:37:46.000,37.7852038
Always Be My Maybe,2019,26th Ave and El Camino Del mar,,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,CA,San Francisco,POINT (-122.4863702 37.7875742),1,2026-02-20T16:44:43.000,Seacliff,-122.4863702,2026-02-20T16:37:46.000,37.7875742
Time After Time,1979,Chestnut & Divisadero Streets (Marina District),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,POINT (-122.4428744 37.7999898),2,2026-02-20T16:44:43.000,Marina,-122.4428744,2026-02-20T16:37:46.000,37.7999898
Freebie and the Bean,1974,Folsom Street (SOMA),,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,CA,San Francisco,POINT (-122.4149402 37.7612212),9,2026-02-20T16:44:43.000,Mission,-122.4149402,2026-02-20T16:37:46.000,37.7612212
Sense8,2015,20th,Driving shots,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,CA,San Francisco,POINT (-122.4116 37.7590974),9,2026-02-20T16:44:43.000,Mission,-122.4116,2026-02-20T16:37:46.000,37.7590974
Petulia,1968,307 Filbert Street,,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain,CA,San Francisco,POINT (-122.4050682 37.8017592),3,2026-02-20T16:44:43.000,North Beach,-122.4050682,2026-02-20T16:37:46.000,37.8017592
Magnum Force,1973,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan,CA,San Francisco,POINT (-122.4192417 37.779275),5,2026-02-20T16:44:43.000,Tenderloin,-122.4192417,2026-02-20T16:37:46.000,37.779275
GirlBoss,2017,"La Taqueria, 2889 Mission St.","The restaurant was given the honor of ""America's Best Burrito"" in 2014 by ESPN's FiveThirtyEight.","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,CA,San Francisco,POINT (-122.4180833 37.7508916),9,2026-02-20T16:44:43.000,Mission,-122.4180833,2026-02-20T16:37:46.000,37.7508916
Chance Season 2,2017,Market St at Embarcadero,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.4212203 37.7735081),6,2026-02-20T16:44:43.000,Mission,-122.4212203,2026-02-20T16:37:46.000,37.7735081
Terminator - Genisys,2015,Construction Site in front of 260 Stockton St. at Post St.,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.406486 37.7883421),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.406486,2026-02-20T16:37:46.000,37.7883421
40 Days and 40 Nights,2002,Café Trieste (609 Vallejo),"Francis Ford Coppola allegedly wrote large portions of ""The Godfather"" trilogy in Café Trieste.",Miramax Films,Miramax Films,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,,CA,San Francisco,POINT (-122.4073139 37.7986417),3,2026-02-20T16:44:43.000,North Beach,-122.4073139,2026-02-20T16:37:46.000,37.7986417
Chance- Season 1 ep104,2016,Bush and Sansome St.,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4007722 37.791194),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4007722,2026-02-20T16:37:46.000,37.791194
Terminator - Genisys,2015,"Mission St., Embarcadero, and Front between Clay and Market",,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.3936136 37.7954425),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3936136,2026-02-20T16:37:46.000,37.7954425
Steve Jobs,2015,Castro St. between 21st an Hill St,,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,CA,San Francisco,POINT (-122.4342208 37.7524013),8,2026-02-20T16:44:43.000,Noe Valley,-122.4342208,2026-02-20T16:37:46.000,37.7524013
Bitter Melon,2018,"Pay and Save Grocery, 599 Guerrero St",The film won Best Narrative Feature at the San Diego Asian Film Festival.,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,CA,San Francisco,POINT (-122.4236314 37.7616945),9,2026-02-20T16:44:43.000,Mission,-122.4236314,2026-02-20T16:37:46.000,37.7616945
"Looking ""Special""",2016,"Li Po Lounge, 916 Grant Avenue",Li Po Cocktail Lounge was one of the Top 10 Dive Bars in San Francisco in 2011 by SF Weekly,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4064344 37.7954238),3,2026-02-20T16:44:43.000,Chinatown,-122.4064344,2026-02-20T16:37:46.000,37.7954238
Foul Play,1978,Sutter & Buchannan Streets,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,CA,San Francisco,POINT (-122.4316945 37.790738),2,2026-02-20T16:44:43.000,Pacific Heights,-122.4316945,2026-02-20T16:37:46.000,37.790738
Chance- Season 1 ep102,2016,John St. between Powell and Mason,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.411619 37.7962),3,2026-02-20T16:44:43.000,Chinatown,-122.411619,2026-02-20T16:37:46.000,37.7962
GirlBoss,2017,Clarion Alley between Valencia and Mission,The murals that make up this famous alley were first painted in 1992 and still looked after by the Clarion Alley Mural Project.,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,CA,San Francisco,POINT (-122.4207943 37.7629824),9,2026-02-20T16:44:43.000,Mission,-122.4207943,2026-02-20T16:37:46.000,37.7629824
The Bachelor,1999,Washington Square Park (North Beach),"Washington Square Park is not actually a square, as it has 5 sides. North Beach is not a beach. The statue in the Park is Ben Franklin, not George Washington.",George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,CA,San Francisco,POINT (-122.4102464 37.8007752),3,2026-02-20T16:44:43.000,North Beach,-122.4102464,2026-02-20T16:37:46.000,37.8007752
Time After Time,1979,Lombard & Divisadero Streets (Marina District),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,POINT (-122.4426736 37.7990728),2,2026-02-20T16:44:43.000,Marina,-122.4426736,2026-02-20T16:37:46.000,37.7990728
They Call Me MISTER Tibbs,1970,,,Mirisch Corporation,United Artists,Gordon Douglas,Alan R. Trustman,Sidney Poitier,Martin Landau,Barbara McNair,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
A Man on The Inside,2024,1201 California St. at Jones St.,,"NBCUniversal Media, LLC",Netflix,Morgan Sackett,Michael Schur,Ted Danson,Mary Elizabeth Ellis,Lilah Richcreek Estrada,CA,San Francisco,POINT (-122.4143334 37.7912071),3,2026-02-20T16:44:43.000,Nob Hill,-122.4143334,2026-02-20T16:37:46.000,37.7912071
Babies,2010,,,Canal+,Focus Features,Thomas Balmes,Thomas Balmes,Bayar,Hattie,,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Bitter Melon,2018,298 11th St,,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,CA,San Francisco,POINT (-122.4144497 37.7719479),6,2026-02-20T16:44:43.000,Mission,-122.4144497,2026-02-20T16:37:46.000,37.7719479
Surface,2022,Post Street between Montgomery and Kearny,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,POINT (-122.4035729 37.7892748),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4035729,2026-02-20T16:37:46.000,37.7892748
Mona Lisa Smile,2003,,,Revolution Studios,Columbia Pictures,Mike Newell,Lawrence Konner,Julia Roberts,Kirsten Dunst,,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Chance Season 2,2017,Scott St between Jackson and Clay St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.43968 37.79178),2,2026-02-20T16:44:43.000,Pacific Heights,-122.43968,2026-02-20T16:37:46.000,37.79178
